post-median,post-mean,post-min,post-max,pre-median,pre-mean,pre-min,pre-max,mean-best_weights
152.3,154.35999999999999,122.8,183.6,122.0,148.6,59.0,322.0,8.418608196973203
122.9,132.78,99.1,186.9,131.0,119.4,20.0,189.0,8.415082139216779
175.2,181.06,153.9,212.5,177.0,178.6,75.0,278.0,8.417291412523642
165.1,171.34,150.0,204.9,111.0,142.4,86.0,267.0,8.412720385584873
149.9,149.82,121.0,173.5,167.0,193.8,140.0,298.0,8.414060428363353
158.1,156.0,134.8,180.0,191.0,244.4,162.0,369.0,8.431480700270995
151.6,158.85999999999999,141.4,190.0,139.0,121.4,58.0,202.0,8.430427217332076
115.5,124.44000000000001,103.8,156.7,115.0,150.4,58.0,319.0,8.428136551472088
185.1,186.72,170.4,215.6,166.0,179.2,71.0,298.0,8.424433821270254
145.4,147.15999999999997,110.1,176.2,109.0,120.4,75.0,223.0,8.408020490457359
156.0,152.88,123.4,180.4,123.0,148.4,79.0,247.0,8.384434669636756
143.3,164.14000000000001,117.0,268.5,208.0,207.4,80.0,357.0,8.378377243517269
186.6,165.16,118.1,197.9,239.0,202.2,57.0,316.0,8.400146824948015
158.9,164.22,139.6,190.6,95.0,121.2,58.0,267.0,8.390155169698998
187.1,186.56,121.4,258.7,176.0,163.0,82.0,244.0,8.397368014700861
198.5,194.60000000000002,168.8,220.1,188.0,169.4,53.0,226.0,8.3908608755347
170.0,149.04,86.7,180.2,113.0,125.6,54.0,240.0,8.388442643738426
158.5,163.68,138.0,194.5,169.0,180.0,62.0,284.0,8.374855920451386
111.0,125.42,105.3,154.2,99.0,155.6,67.0,389.0,8.372023650986764
131.3,130.54000000000002,110.2,151.8,172.0,190.8,80.0,283.0,8.396995619818965
137.5,133.07999999999998,99.3,159.5,95.0,139.8,26.0,257.0,8.406514368779378
103.6,110.12,85.3,132.3,89.0,103.0,40.0,163.0,8.41067097802211
116.9,125.47999999999999,104.6,149.9,187.0,148.2,37.0,283.0,8.419342576089106
128.9,123.72,93.2,153.1,100.0,117.2,58.0,232.0,8.43078717577346
97.2,92.85999999999999,47.2,146.8,64.0,101.6,54.0,223.0,8.411596112034982
133.5,147.45999999999998,111.3,193.4,111.0,126.4,45.0,303.0,8.414462650455064
